Series Name,Series Code,Country Name,Country Code,2023 [YR2023]
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Portugal,PRT,0.535429
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Puerto Rico,PRI,0.770766479679474
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Qatar,QAT,2.26432104089352
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Romania,ROU,1.84382686054144
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Russian Federation,RUS,26.6700705903736
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Rwanda,RWA,345.099547235674
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Samoa,WSM,1.68984001763853
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,San Marino,SMR,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sao Tome and Principe,STP,10.9165701514009
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Saudi Arabia,SAU,1.96966638802559
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Senegal,SEN,216.025734320491
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Serbia,SRB,46.430288281713
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Seychelles,SYC,7.66322976969878
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sierra Leone,SLE,4.79466308027478
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Singapore,SGP,0.8037836176702
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sint Maarten (Dutch part),SXM,1.36793336469739
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Slovak Republic,SVK,0.520553
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Slovenia,SVN,0.560446
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Solomon Islands,SLB,6.08024172616716
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Somalia,SOM,10440.8848165343
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Africa,ZAF,7.31314484629252
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Sudan,SSD,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Spain,ESP,0.583709
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sri Lanka,LKA,86.7026933502495
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Kitts and Nevis,KNA,1.80590982834959
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Lucia,LCA,1.40899822145366
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Martin (French part),MAF,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,St. Vincent and the Grenadines,VCT,1.39588580059389
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sudan,SDN,525.522971591494
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Suriname,SUR,9.55969401696286
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sweden,SWE,8.788485
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Switzerland,CHE,1.001601
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Syrian Arab Republic,SYR,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tajikistan,TJK,2.53616258002838
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tanzania,TZA,725.852289581593
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Thailand,THA,10.6520148270449
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Timor-Leste,TLS,0.312766289840095
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Togo,TGO,194.657960329262
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tonga,TON,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Trinidad and Tobago,TTO,3.83972390680919
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tunisia,TUN,0.8870532514667
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Turkiye,TUR,7.369334
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Turkmenistan,TKM,1.45314398702451
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Turks and Caicos Islands,TCA,1.22592700357511
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Tuvalu,TUV,1.55260912287172
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Uganda,UGA,1214.19713968138
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Ukraine,UKR,10.5171315081732
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,United Arab Emirates,ARE,2.36632559202145
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,United Kingdom,GBR,0.682911
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,United States,USA,1
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Uruguay,URY,25.708087339119
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Uzbekistan,UZB,3010.59375215095
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Vanuatu,VUT,120.981394829571
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Venezuela, RB",VEN,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Viet Nam,VNM,6802.47065679253
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Virgin Islands (U.S.),VIR,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,West Bank and Gaza,PSE,0.571903530929209
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Yemen, Rep.",YEM,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Zambia,ZMB,6.59718586610757
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Zimbabwe,ZWE,2141.72616559256
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Africa Eastern and Southern,AFE,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Africa Western and Central,AFW,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Arab World,ARB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Caribbean small states,CSS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Central Europe and the Baltics,CEB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Early-demographic dividend,EAR,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,East Asia & Pacific,EAS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,East Asia & Pacific (excluding high income),EAP,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,East Asia & Pacific (IDA & IBRD countries),TEA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Euro area,EMU,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Europe & Central Asia,ECS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Europe & Central Asia (excluding high income),ECA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Europe & Central Asia (IDA & IBRD countries),TEC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,European Union,EUU,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Fragile and conflict affected situations,FCS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Heavily indebted poor countries (HIPC),HPC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,High income,HIC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IBRD only,IBD,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IDA & IBRD total,IBT,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IDA blend,IDB,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IDA only,IDX,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,IDA total,IDA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Late-demographic dividend,LTE,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Latin America & Caribbean,LCN,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Latin America & Caribbean (excluding high income),LAC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Least developed countries: UN classification,LDC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Low & middle income,LMY,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Low income,LIC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Lower middle income,LMC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Middle East & North Africa,MEA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Middle East & North Africa (excluding high income),MNA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Middle East & North Africa (IDA & IBRD countries),TMN,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Middle income,MIC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,North America,NAC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Not classified,INX,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,OECD members,OED,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Other small states,OSS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pacific island small states,PSS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Post-demographic dividend,PST,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Pre-demographic dividend,PRE,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Small states,SST,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Asia,SAS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,South Asia (IDA & IBRD),TSA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sub-Saharan Africa,SSF,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sub-Saharan Africa (excluding high income),SSA,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Upper middle income,UMC,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,World,WLD,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/24/2025,,,,
